datetime,BPM
2018-03-03 19:24:02,0
2018-03-03 19:24:03,0
2018-03-03 19:24:04,0
2018-03-03 19:24:05,0
2018-03-03 19:24:06,0
2018-03-03 19:24:07,0
2018-03-03 19:24:08,0
2018-03-03 19:24:09,0
2018-03-03 19:24:10,0
2018-03-03 19:24:11,0
2018-03-03 19:24:12,0
2018-03-03 19:24:13,212
2018-03-03 19:24:14,159
2018-03-03 19:24:15,141
2018-03-03 19:24:16,121
2018-03-03 19:24:17,121
2018-03-03 19:24:18,121
2018-03-03 19:24:19,0
2018-03-03 19:24:20,0
2018-03-03 19:24:21,72
2018-03-03 19:24:22,71
2018-03-03 19:24:23,73
2018-03-03 19:24:24,81
2018-03-03 19:24:25,81
2018-03-03 19:24:26,0
2018-03-03 19:24:27,0
2018-03-03 19:24:28,63
2018-03-03 19:24:29,64
2018-03-03 19:24:30,72
2018-03-03 19:24:31,72
2018-03-03 19:24:32,72
2018-03-03 19:24:33,0
2018-03-03 19:24:34,0
2018-03-03 19:24:35,0
2018-03-03 19:24:36,121
2018-03-03 19:24:37,122
2018-03-03 19:24:38,109
2018-03-03 19:24:39,100
2018-03-03 19:24:40,98
2018-03-03 19:24:41,98
2018-03-03 19:24:42,79
2018-03-03 19:24:43,79
2018-03-03 19:24:44,68
2018-03-03 19:24:45,65
2018-03-03 19:24:46,65
2018-03-03 19:24:47,0
2018-03-03 19:24:48,0
2018-03-03 19:24:49,0
2018-03-03 19:24:50,0
2018-03-03 19:24:51,0
2018-03-03 19:24:52,0
2018-03-03 19:24:53,97
2018-03-03 19:24:54,93
2018-03-03 19:24:55,91
2018-03-03 19:24:56,87
2018-03-03 19:24:57,84
2018-03-03 19:24:58,82
2018-03-03 19:24:59,81
2018-03-03 19:25:00,81
2018-03-03 19:25:01,81
2018-03-03 19:25:02,0
2018-03-03 19:25:03,80
2018-03-03 19:25:04,87
2018-03-03 19:25:05,103
2018-03-03 19:25:06,103
2018-03-03 19:25:07,103
2018-03-03 19:25:08,81
2018-03-03 19:25:09,74
2018-03-03 19:25:10,74
2018-03-03 19:25:11,68
2018-03-03 19:25:12,66
2018-03-03 19:25:13,65
2018-03-03 19:25:14,63
2018-03-03 19:25:15,60
2018-03-03 19:25:16,57
2018-03-03 19:25:17,73
2018-03-03 19:25:18,88
2018-03-03 19:25:19,93
2018-03-03 19:25:20,93
2018-03-03 19:25:21,91
2018-03-03 19:25:22,91
2018-03-03 19:25:23,88
2018-03-03 19:25:24,88
2018-03-03 19:25:25,88
2018-03-03 19:25:26,70
2018-03-03 19:25:27,62
2018-03-03 19:25:28,60
2018-03-03 19:25:29,57
2018-03-03 19:25:30,56
2018-03-03 19:25:31,55
2018-03-03 19:25:32,54
2018-03-03 19:25:33,56
2018-03-03 19:25:34,56
2018-03-03 19:25:35,66
2018-03-03 19:25:36,75
2018-03-03 19:25:37,79
2018-03-03 19:25:38,78
2018-03-03 19:25:39,70
2018-03-03 19:25:40,70
2018-03-03 19:25:41,65
2018-03-03 19:25:42,61
2018-03-03 19:25:43,60
2018-03-03 19:25:44,61
2018-03-03 19:25:45,61
2018-03-03 19:25:46,60
2018-03-03 19:25:47,60
2018-03-03 19:25:48,66
2018-03-03 19:25:49,72
